,Residuals
364,0.021884628605059575
365,0.013897713631189745
366,0.01502012986580148
367,0.01377734709363132
368,0.0002564724064466617
369,0.001643903470734287
370,-0.004271930433809246
371,-0.005140045000398885
372,-0.00372089678166887
373,0.0012951433121770606
374,-0.0007704051481418617
375,-0.0029605732605144652
376,-0.007007854076585218
377,-0.0017762521469624204
378,7.61686529049399e-05
379,-0.0012369475158440224
380,0.0053259208774747435
381,0.006119726594635111
382,0.009409658868259285
383,0.011621076807911024
384,0.014346151620490133
385,0.014761804862246208
386,0.01524361597427415
387,0.017324824918979687
388,0.013626463146437118
389,0.01718460433918878
390,0.012570375908916631
391,0.0122217947021106
392,0.011942331282877916
393,0.010635779791797972
394,0.008348127510322101
395,0.010244022238044437
396,0.016636611949746083
397,0.01610265682424661
398,0.01593754051322449
399,0.017173813467989518
400,0.019769008237906505
401,0.020331165270425444
402,0.02128624384646116
403,0.021764635167691893
404,0.024670158272506626
405,0.024768934392152886
406,0.023552344697122862
407,0.026817357713342815
408,0.027052300054641876
409,0.026699112645538037
410,0.030060313831597796
411,0.029529556417253744
412,0.029849727711782847
413,0.028930673921209404
414,0.033273243959747845
415,0.03924983850857622
416,0.0397082580197754
417,0.04171817864607341
418,0.0402371015627736
419,0.039551834618970716
420,0.03652456388060088
421,0.034770694148626546
422,0.036083349126641906
423,0.036894095491948775
424,0.03324362907902767
425,0.030075368813719194
426,0.022067212226581034
427,0.008522909763010844
428,0.0062100598610896895
429,0.00019313378993146557
430,0.012454928056438774
431,0.012000861298409049
432,0.007749567552227887
433,-0.000721442212036294
434,-0.0012792196815496482
435,-0.002083568827870863
436,-0.000879069177182501
437,-0.0025649959364795194
438,-0.00045404983144692324
439,-0.004325085695134234
440,-0.015113014733726615
441,-0.04328192063650249
442,-0.06035462924959489
443,-0.05752969250746709
444,-0.057374349489609955
445,-0.06287969613121902
446,-0.07143483758068392
447,-0.0941682227144316
448,-0.10217928767015039
449,-0.111388308602832
450,-0.12127996981277889
451,-0.14312541828744507
452,-0.1558256908633453
453,-0.12247817125760285
454,-0.10131465206742618
455,-0.10765844561015925
456,-0.11076653738744113
457,-0.1091215941176511
458,-0.10414050284281018
459,-0.09935115644512038
460,-0.1022141456513328
461,-0.10183625102989602
462,-0.10054468370835679
463,-0.10269481246660206
464,-0.10495461795970051
465,-0.10420162459846694
466,-0.12883746161654308
467,-0.1342105275134955
468,-0.1267199506643628
469,-0.12229187812811126
470,-0.12165735926198273
471,-0.12157482167057942
472,-0.12037100750655938
473,-0.11207455138208644
474,-0.10412110615548187
475,-0.0966769955607436
476,-0.09727591982158401
477,-0.08927943242962577
478,-0.07808614008764359
479,-0.07088703085041637
480,-0.051163413284932346
481,-0.019994903851669577
482,-0.009099562234426983
483,-0.012223721351745098
484,-0.012961295053377953
485,-0.004330306267187112
486,-0.0020024751433442844
487,-0.0012065491765582692
488,0.007229560287516534
489,0.004213382472338267
490,0.003982021078508424
491,0.0069912553482254225
492,0.009333012868950163
493,0.011252476638306419
494,0.012491160414612068
495,0.020629907838134898
496,0.020760188927519962
497,0.014519591774336149
498,0.014741340893163368
499,0.013551834924427908
500,0.010671188846258062
501,0.013427355122040296
502,0.01319676457432628
503,0.015304881680142657
504,0.01644469438165075
505,0.0174024802954591
506,0.02191883404485573
507,0.024891311432517327
508,0.025521812740930017
509,0.024057622443626414
510,0.02271154359791616
511,0.02247587821815955
512,0.024906894305802396
513,0.02876178714866917
514,0.029203826569915492
515,0.029953418817209254
516,0.03372086193117241
517,0.0371789487110501
518,0.03266681682936046
519,0.03494334174001601
520,0.029230145861241397
521,0.029179797796702545
522,0.030934355633441157
523,0.03120890033954815
524,0.031097933799554056
525,0.030915176281316903
526,0.030330503676491816
527,0.024550801955436796
528,0.027570975680228926
529,0.024332006846858434
530,0.009523286924693508
531,-0.015016208858334323
532,0.004229941595951914
533,0.00041241596860075447
534,0.002635334930863209
535,-0.004920913072565369
536,-0.00044303684645008445
537,0.00034030716288313556
538,-0.004656895417477713
539,-0.0073848861190448645
540,-0.012088898208165944
541,-0.008322086734541045
542,-0.0009827317400041835
543,-0.0006859924262183625
544,0.0027373325964354933
545,-0.0016245004119603834
546,-0.003922181239861544
547,-0.0031868698772452575
548,-0.00045219920642480815
549,0.0018695368839427573
550,0.0006887998177464993
551,0.0006003757572674573
552,-0.00013789625317173204
553,-0.0031859842212931255
554,-0.006434672831039379
555,-0.014137362070542281
556,-0.020915288963546885
557,-0.028241430362195175
558,-0.029840809801363832
559,-0.029077906892085892
